id,xloc,yloc
1,-32.65,-3.95
2,-32.64,-3.95
3,-32.63,-3.95
4,-32.62,-3.95
5,-32.61,-3.95
6,-32.6,-3.95
7,-32.59,-3.95
8,-32.58,-3.95
9,-32.57,-3.95
10,-32.56,-3.95
11,-32.55,-3.95
12,-32.54,-3.95
13,-32.53,-3.95
14,-32.52,-3.95
15,-32.51,-3.95
16,-32.5,-3.95
17,-32.49,-3.95
18,-32.48,-3.95
19,-32.47,-3.95
20,-32.46,-3.95
21,-32.45,-3.95
22,-32.44,-3.95
23,-32.43,-3.95
24,-32.42,-3.95
25,-32.41,-3.95
26,-32.4,-3.95
27,-32.39,-3.95
28,-32.38,-3.95
29,-32.37,-3.95
30,-32.36,-3.95
31,-32.35,-3.95
32,-32.34,-3.95
33,-32.33,-3.95
34,-32.32,-3.95
35,-32.31,-3.95
36,-32.3,-3.95
37,-32.65,-3.94
38,-32.64,-3.94
39,-32.63,-3.94
40,-32.62,-3.94
41,-32.61,-3.94
42,-32.6,-3.94
43,-32.59,-3.94
44,-32.58,-3.94
45,-32.57,-3.94
46,-32.56,-3.94
47,-32.55,-3.94
48,-32.54,-3.94
49,-32.53,-3.94
50,-32.52,-3.94
51,-32.51,-3.94
52,-32.5,-3.94
53,-32.49,-3.94
54,-32.48,-3.94
55,-32.47,-3.94
56,-32.46,-3.94
57,-32.45,-3.94
58,-32.44,-3.94
59,-32.43,-3.94
60,-32.42,-3.94
61,-32.41,-3.94
62,-32.4,-3.94
63,-32.39,-3.94
64,-32.38,-3.94
65,-32.37,-3.94
66,-32.36,-3.94
67,-32.35,-3.94
68,-32.34,-3.94
69,-32.33,-3.94
70,-32.32,-3.94
71,-32.31,-3.94
72,-32.3,-3.94
73,-32.65,-3.93
74,-32.64,-3.93
75,-32.63,-3.93
76,-32.62,-3.93
77,-32.61,-3.93
78,-32.6,-3.93
79,-32.59,-3.93
80,-32.58,-3.93
81,-32.57,-3.93
82,-32.56,-3.93
83,-32.55,-3.93
84,-32.54,-3.93
85,-32.53,-3.93
86,-32.52,-3.93
87,-32.51,-3.93
88,-32.5,-3.93
89,-32.49,-3.93
90,-32.48,-3.93
91,-32.47,-3.93
92,-32.46,-3.93
93,-32.45,-3.93
94,-32.44,-3.93
95,-32.43,-3.93
96,-32.42,-3.93
97,-32.41,-3.93
98,-32.4,-3.93
99,-32.39,-3.93
100,-32.38,-3.93
101,-32.37,-3.93
102,-32.36,-3.93
103,-32.35,-3.93
104,-32.34,-3.93
105,-32.33,-3.93
106,-32.32,-3.93
107,-32.31,-3.93
108,-32.3,-3.93
109,-32.65,-3.92
110,-32.64,-3.92
111,-32.63,-3.92
112,-32.62,-3.92
113,-32.61,-3.92
114,-32.6,-3.92
115,-32.59,-3.92
116,-32.58,-3.92
117,-32.57,-3.92
118,-32.56,-3.92
119,-32.55,-3.92
120,-32.54,-3.92
121,-32.53,-3.92
122,-32.52,-3.92
123,-32.51,-3.92
124,-32.5,-3.92
125,-32.49,-3.92
126,-32.48,-3.92
127,-32.47,-3.92
128,-32.46,-3.92
129,-32.45,-3.92
130,-32.44,-3.92
131,-32.43,-3.92
132,-32.42,-3.92
133,-32.41,-3.92
134,-32.4,-3.92
135,-32.39,-3.92
136,-32.38,-3.92
137,-32.37,-3.92
138,-32.36,-3.92
139,-32.35,-3.92
140,-32.34,-3.92
141,-32.33,-3.92
142,-32.32,-3.92
143,-32.31,-3.92
144,-32.3,-3.92
145,-32.65,-3.91
146,-32.64,-3.91
147,-32.63,-3.91
148,-32.62,-3.91
149,-32.61,-3.91
150,-32.6,-3.91
151,-32.59,-3.91
152,-32.58,-3.91
153,-32.57,-3.91
154,-32.56,-3.91
155,-32.55,-3.91
156,-32.54,-3.91
157,-32.53,-3.91
158,-32.52,-3.91
159,-32.51,-3.91
160,-32.5,-3.91
161,-32.49,-3.91
162,-32.48,-3.91
163,-32.47,-3.91
164,-32.46,-3.91
165,-32.45,-3.91
166,-32.44,-3.91
167,-32.43,-3.91
168,-32.42,-3.91
169,-32.41,-3.91
170,-32.4,-3.91
171,-32.39,-3.91
172,-32.38,-3.91
173,-32.37,-3.91
